0, daa 0, flags 246
78, daa de, flags 297
79, daa df, flags 293
7a, daa e0, flags 293
7b, daa e1, flags 297
7c, daa e2, flags 297
7d, daa e3, flags 293
7e, daa e4, flags 297
7f, daa e5, flags 293
80, daa e6, flags 293
81, daa e7, flags 297
82, daa e8, flags 297
83, daa e9, flags 293
84, daa ea, flags 293
85, daa eb, flags 297
86, daa ec, flags 293
87, daa ed, flags 297
88, daa ee, flags 297
89, daa ef, flags 293
8a, daa f0, flags 297
8b, daa f1, flags 293
8c, daa f2, flags 293
8d, daa f3, flags 297
8e, daa f4, flags 293
8f, daa f5, flags 297
90, daa f6, flags 297
91, daa f7, flags 293
92, daa f8, flags 293
93, daa f9, flags 297
94, daa fa, flags 297
95, daa fb, flags 293
96, daa fc, flags 297
97, daa fd, flags 293
98, daa fe, flags 293
99, daa ff, flags 297
9a, daa 0, flags 257
9b, daa 1, flags 213
9c, daa 2, flags 213
9d, daa 3, flags 217
9e, daa 4, flags 213
9f, daa 5, flags 217
a0, daa 6, flags 217
a1, daa 7, flags 213
a2, daa 8, flags 213
a3, daa 9, flags 217
a4, daa a, flags 217
a5, daa b, flags 213
a6, daa c, flags 217
a7, daa d, flags 213
a8, daa e, flags 213
a9, daa f, flags 217
aa, daa 10, flags 213
ab, daa 11, flags 217
ac, daa 12, flags 217
ad, daa 13, flags 213
ae, daa 14, flags 217
af, daa 15, flags 213
b0, daa 16, flags 213
b1, daa 17, flags 217
b2, daa 18, flags 217
b3, daa 19, flags 213
b4, daa 1a, flags 213
b5, daa 1b, flags 217
b6, daa 1c, flags 213
b7, daa 1d, flags 217
b8, daa 1e, flags 217
b9, daa 1f, flags 213
ba, daa 20, flags 213
bb, daa 21, flags 217
bc, daa 22, flags 217
bd, daa 23, flags 213
be, daa 24, flags 217
bf, daa 25, flags 213
c0, daa 26, flags 213
c1, daa 27, flags 217
c2, daa 28, flags 217
c3, daa 29, flags 213
c4, daa 2a, flags 213
c5, daa 2b, flags 217
c6, daa 2c, flags 213
c7, daa 2d, flags 217
c8, daa 2e, flags 217
c9, daa 2f, flags 213
ca, daa 30, flags 217
cb, daa 31, flags 213
cc, daa 32, flags 213
cd, daa 33, flags 217
ce, daa 34, flags 213
cf, daa 35, flags 217
d0, daa 36, flags 217
d1, daa 37, flags 213
d2, daa 38, flags 213
d3, daa 39, flags 217
d4, daa 3a, flags 217
d5, daa 3b, flags 213
d6, daa 3c, flags 217
d7, daa 3d, flags 213
d8, daa 3e, flags 213
d9, daa 3f, flags 217
da, daa 40, flags 213
db, daa 41, flags 217
dc, daa 42, flags 217
dd, daa 43, flags 213
de, daa 44, flags 217
df, daa 45, flags 213
e0, daa 46, flags 213
e1, daa 47, flags 217
e2, daa 48, flags 217
e3, daa 49, flags 213
e4, daa 4a, flags 213
e5, daa 4b, flags 217
e6, daa 4c, flags 213
e7, daa 4d, flags 217
e8, daa 4e, flags 217
e9, daa 4f, flags 213
ea, daa 50, flags 217
eb, daa 51, flags 213
ec, daa 52, flags 213
ed, daa 53, flags 217
ee, daa 54, flags 213
ef, daa 55, flags 217
f0, daa 56, flags 217
f1, daa 57, flags 213
f2, daa 58, flags 213
f3, daa 59, flags 217
f4, daa 5a, flags 217
f5, daa 5b, flags 213
f6, daa 5c, flags 217
f7, daa 5d, flags 213
f8, daa 5e, flags 213
f9, daa 5f, flags 217
fa, daa 60, flags 217
fb, daa 61, flags 213
fc, daa 62, flags 213
fd, daa 63, flags 217
fe, daa 64, flags 213
ff, daa 65, flags 217
